cycSecs,cycMps,cycGrade,cycRoadType
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0.052777777,0,0
13,0.466666652,0,0
14,1.508333286,0,0
15,2.741666635,0,0
16,3.652777672,0,0
17,4.702777863,0,0
18,6.033333143,0,0
19,7.225000064,0,0
20,7.647222413,0,0
21,7.799999979,0,0
22,7.850000064,0,0
23,7.872222265,0,0
24,7.941666709,0,0
25,8.272222413,0,0
26,8.44722218,0,0
27,8.802777926,0,0
28,9.916666879,0,0
29,10.86944474,0,0
30,11.48333338,0,0
31,11.81666692,0,0
32,12.0166662,0,0
33,12.18611081,0,0
34,12.3249997,0,0
35,12.37222248,0,0
36,12.27222231,0,0
37,11.85277727,0,0
38,11.08888838,0,0
39,10.26944478,0,0
40,9.605556064,0,0
41,8.958333333,0,0
42,8.049999873,0,0
43,6.969444487,0,0
44,6.161111196,0,0
45,5.808333291,0,0
46,5.661110878,0,0
47,5.419444508,0,0
48,5.111111005,0,0
49,4.955555598,0,0
50,4.93888908,0,0
51,4.833333227,0,0
52,4.35416672,0,0
53,3.644444413,0,0
54,3.347222275,0,0
55,2.96388891,0,0
56,2.777777778,0,0
57,2.777777778,0,0
58,2.872222265,0,0
59,2.95277781,0,0
60,3.524999883,0,0
61,3.691666656,0,0
62,3.872222106,0,0
63,3.952777651,0,0
64,4.20277781,0,0
65,4.383333259,0,0
66,4.463888804,0,0
67,5.10000017,0,0
68,5.625,0,0
69,6.436111132,0,0
70,7.352777587,0,0
71,8.272222413,0,0
72,9.044444826,0,0
73,9.555555979,0,0
74,9.863888423,0,0
75,10.11388885,0,0
76,10.39722231,0,0
77,10.70000013,0,0
78,10.90833346,0,0
79,10.96944491,0,0
80,10.8444447,0,0
81,10.68055577,0,0
82,10.35833359,0,0
83,10.2638891,0,0
84,10.18333329,0,0
85,9.963888592,0,0
86,9.802778032,0,0
87,9.619444741,0,0
88,9.494444529,0,0
89,8.861111005,0,0
90,7.58055581,0,0
91,6.105555428,0,0
92,4.719444381,0,0
93,3.947222233,0,0
94,3.327777651,0,0
95,2.513888942,0,0
96,1.608333323,0,0
97,0.997222198,0,0
98,0.597222249,0,0
99,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,0
131,0,0,0
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,0,0,0
137,0,0,0
138,0.044357619,0,0
139,0.538194411,0,0
140,1.693815125,0,0
141,3.245507611,0,0
142,4.545052316,0,0
143,5.245800548,0,0
144,5.515950521,0,0
145,5.778309504,0,0
146,6.334635417,0,0
147,7.061664793,0,0
148,7.701410717,0,0
149,8.123687108,0,0
150,8.286805153,0,0
151,8.175781038,0,0
152,7.567361196,0,0
153,6.289582782,0,0
154,4.814582931,0,0
155,3.486697144,0,0
156,3.119965394,0,0
157,3.291753398,0,0
158,3.920095762,0,0
159,4.788498349,0,0
160,5.570898586,0,0
161,6.502777735,0,0
162,7.072221968,0,0
163,7.669444614,0,0
164,8.202777969,0,0
165,8.638888995,0,0
166,8.922221926,0,0
167,9.227778117,0,0
168,9.783333672,0,0
169,10.34166654,0,0
170,10.54444419,0,0
171,10.38611094,0,0
